spor,tabel,noegle,stoerrelse,vaerdi
A,diagnose_aar,2022,middel_R_netto,0.02545855492812059
A,diagnose_aar,2022,middel_R_netto_ci95_lo,-0.06919792490533433
A,diagnose_aar,2022,middel_R_netto_ci95_hi,0.1201150347615755
A,diagnose_aar,2022,tvetydige_n,2.0
A,diagnose_aar,2023,handler_n,679.0
A,diagnose_aar,2023,middel_R_netto,-0.0006229655042287332
A,diagnose_aar,2023,middel_R_netto_ci95_lo,-0.09562263580178947
A,diagnose_aar,2023,middel_R_netto_ci95_hi,0.094376704793332
A,diagnose_aar,2023,tvetydige_n,7.0
A,diagnose_strejf,skygge,strejf_n,63.0
A,diagnose_strejf,skygge,hvis_fyldt_middel_R_netto,0.4041387524913665
A,diagnose_strejf,skygge,hvis_fyldt_win_rate_pct_netto,34.92063492063492
A,variant,brud_alene,mde_middel_R_netto,0.13
A,variant,brud_alene,handler_n,974.0
A,variant,brud_alene,dage_med_handel_n,907.0
A,variant,brud_alene,middel_R_brutto,0.06026648410567571
A,variant,brud_alene,middel_R_netto,-0.037629892325042096
A,variant,brud_alene,middel_R_netto_ci95_lo,-0.11902102084770583
A,variant,brud_alene,middel_R_netto_ci95_hi,0.04376123619762163
A,variant,brud_alene,win_rate_pct_netto,27.82340862422998
A,variant,brud_alene,win_rate_ci95_lo_pct,25.100402020283024
A,variant,brud_alene,win_rate_ci95_hi_pct,30.720657098952437
A,variant,brud_alene,holder_pct,50.30800821355236
A,variant,brud_alene,holder_ci95_lo_pct,47.17296653876008
A,variant,brud_alene,holder_ci95_hi_pct,53.44062986236165
A,variant,brud_alene,tvetydige_n,10.0
A,variant,brud_alene,tvetydige_pct,1.0266940451745379
A,variant,brud_alene,udfald_maal_pct,27.82340862422998
A,variant,brud_alene,udfald_stop_pct,51.12936344969199
A,variant,brud_alene,udfald_BE_pct,16.119096509240247
A,variant,brud_alene,udfald_tidsexit_pct,4.9281314168377826
A,variant,brud_alene,udfald_censureret_pct,0.0
A,variant,brud_alene,signaler_sprunget_over_position_n,37.0
A,variant,brud_alene,signaler_sprunget_over_dagslukket_n,983.0
A,variant,brud_alene,signaler_n,2011.0
